frame,deltaTime,actorX,cameraX,screenX,speed
0,0.008654,-11.700270,-13.020050,1044.934000,4.999958
1,0.008333,-11.658600,-12.982920,1045.226000,5.000000
2,0.008334,-11.616930,-12.945670,1045.511000,5.000046
3,0.008333,-11.575260,-12.908300,1045.787000,4.999945
4,0.008334,-11.533590,-12.870810,1046.056000,5.000041
5,0.008334,-11.491930,-12.833200,1046.318000,5.000046
6,0.008333,-11.450260,-12.795490,1046.572000,5.000009
7,0.008333,-11.408590,-12.757670,1046.819000,5.000000
8,0.008499,-11.366100,-12.718980,1047.064000,4.999973
9,0.008333,-11.324430,-12.680950,1047.298000,5.000055
10,0.008334,-11.282760,-12.642820,1047.526000,5.000045
11,0.008333,-11.241090,-12.604590,1047.747000,4.999995
12,0.008609,-11.198050,-12.564990,1047.969000,5.000001
13,0.008408,-11.156010,-12.526230,1048.180000,5.000043
14,0.008333,-11.114340,-12.487720,1048.384000,4.999945
15,0.008734,-11.070670,-12.447260,1048.590000,4.999966
16,0.008334,-11.029000,-12.408580,1048.782000,4.999978
17,0.008333,-10.987340,-12.369820,1048.969000,4.999945
18,0.008524,-10.944720,-12.330080,1049.155000,5.000014
19,0.008333,-10.903050,-12.291170,1049.332000,4.999945
20,0.008333,-10.861380,-12.252180,1049.504000,4.999995
21,0.008334,-10.819710,-12.213110,1049.672000,5.000041
22,0.008333,-10.778050,-12.173980,1049.835000,4.999950
23,0.008334,-10.736380,-12.134770,1049.993000,5.000046
24,0.008333,-10.694710,-12.095500,1050.147000,5.000054
25,0.008333,-10.653040,-12.056160,1050.297000,4.999945
26,0.008678,-10.609660,-12.015120,1050.448000,4.999985
27,0.008333,-10.567990,-11.975660,1050.590000,4.999954
28,0.008515,-10.525420,-11.935260,1050.730000,4.999977
29,0.008700,-10.481920,-11.893920,1050.869000,4.999998
30,0.008333,-10.440250,-11.854280,1050.999000,5.000055
31,0.008333,-10.398580,-11.814580,1051.126000,5.000004
32,0.008333,-10.356920,-11.774830,1051.249000,5.000000
33,0.008394,-10.314950,-11.734730,1051.370000,5.000040
34,0.008334,-10.273280,-11.694880,1051.486000,4.999986
35,0.008667,-10.229940,-11.653360,1051.603000,5.000044
36,0.008333,-10.188280,-11.613400,1051.714000,5.000009
37,0.008334,-10.146610,-11.573400,1051.821000,4.999986
38,0.008333,-10.104940,-11.533360,1051.925000,5.000009
39,0.008333,-10.063280,-11.493270,1052.026000,5.000054
