frame,deltaTime,actorX,cameraX,screenX,speed
0,0.008629,-2.700003,-3.984539,2085.332000,0.000000
1,0.008333,-2.600003,-3.946783,2093.343000,12.000470
2,0.008334,-2.600003,-3.910054,2088.616000,0.000000
3,0.008597,-2.500003,-3.870407,2096.384000,11.631820
4,0.008334,-2.500003,-3.833035,2091.573000,0.000000
5,0.008333,-2.400003,-3.793957,2099.415000,12.000330
6,0.008333,-2.400003,-3.755942,2094.522000,0.000000
7,0.008333,-2.400003,-3.718964,2089.763000,0.000000
8,0.008333,-2.300004,-3.680268,2097.653000,11.999900
9,0.008334,-2.300004,-3.642626,2092.808000,0.000000
10,0.008333,-2.200004,-3.603284,2100.615000,11.999750
11,0.008740,-2.200004,-3.563183,2095.454000,0.000000
12,0.008618,-2.200004,-3.524761,2090.509000,0.000000
13,0.008333,-2.100004,-3.485907,2098.379000,12.000180
14,0.008334,-2.100004,-3.448112,2093.514000,0.000000
15,0.008333,-2.000004,-3.408621,2101.302000,12.000040
16,0.008333,-2.000004,-3.370207,2096.358000,0.000000
17,0.008333,-1.900004,-3.330113,2104.069000,11.999900
18,0.008334,-1.900004,-3.291113,2099.049000,0.000000
19,0.008706,-1.900004,-3.251511,2093.952000,0.000000
20,0.008333,-1.800004,-3.211928,2101.728000,12.000040
21,0.008418,-1.800004,-3.173041,2096.723000,0.000000
22,0.008334,-1.700004,-3.132870,2104.423000,11.999740
23,0.008334,-1.700004,-3.093793,2099.394000,0.000000
24,0.008678,-1.700004,-3.054242,2094.303000,0.000000
25,0.008333,-1.600004,-3.014584,2102.070000,11.999750
26,0.008333,-1.600004,-2.976007,2097.104000,0.000000
27,0.008624,-1.500004,-2.934378,2104.617000,11.595400
28,0.008334,-1.500004,-2.895260,2099.583000,0.000000
29,0.008333,-1.400004,-2.854485,2107.205000,12.000330
30,0.008333,-1.400004,-2.814820,2102.100000,0.000000
31,0.008334,-1.400004,-2.776237,2097.134000,0.000000
32,0.008333,-1.300004,-2.735981,2104.824000,12.000330
33,0.008334,-1.300004,-2.696817,2099.783000,0.000000
34,0.008333,-1.200005,-2.655999,2107.400000,12.000030
35,0.008333,-1.200005,-2.616292,2102.290000,0.000000
36,0.008333,-1.100005,-2.574943,2109.838000,12.000040
37,0.008334,-1.100005,-2.534717,2104.661000,0.000000
38,0.008333,-1.100005,-2.495594,2099.625000,0.000000
39,0.008334,-1.000005,-2.454806,2107.247000,11.999170
40,0.008333,-1.000005,-2.415133,2102.140000,0.000000
41,0.008333,-0.900005,-2.373817,2109.693000,12.000910
42,0.008334,-0.900005,-2.333625,2104.521000,0.000000
43,0.008334,-0.900005,-2.294529,2099.488000,0.000000
44,0.008333,-0.800005,-2.253773,2107.114000,12.000050
45,0.008601,-0.800005,-2.212879,2101.850000,0.000000
46,0.008334,-0.700005,-2.171622,2109.411000,11.999750
47,0.008530,-0.700005,-2.130561,2104.126000,0.000000
48,0.008334,-0.600005,-2.088821,2111.625000,11.999610
49,0.008333,-0.600005,-2.048219,2106.399000,0.000000
50,0.008334,-0.600005,-2.008724,2101.315000,0.000000
51,0.008333,-0.500005,-1.967580,2108.891000,11.999900
52,0.008333,-0.500005,-1.927558,2103.740000,0.000000
53,0.008334,-0.400005,-1.885895,2111.248000,11.998470
54,0.008333,-0.400005,-1.845377,2106.033000,0.000000
55,0.008333,-0.400005,-1.805960,2100.960000,0.000000
56,0.008713,-0.300005,-1.763057,2108.308000,11.476960
57,0.008635,-0.300005,-1.721741,2102.991000,0.000000
58,0.008333,-0.200005,-1.680241,2110.520000,11.999900
59,0.008333,-0.200005,-1.639875,2105.325000,0.000000
60,0.008334,-0.100005,-1.597881,2112.791000,11.999750
61,0.008334,-0.100005,-1.557031,2107.533000,0.000000
62,0.008381,-0.100005,-1.517074,2102.390000,0.000000
63,0.008333,-0.000005,-1.475702,2109.936000,11.999900
64,0.008653,-0.000005,-1.433947,2104.562000,0.000000
65,0.008334,0.099995,-1.392114,2112.048000,11.999620
66,0.008333,0.099995,-1.351424,2106.811000,0.000000
67,0.008333,0.199995,-1.309115,2114.237000,11.999760
68,0.008333,0.199995,-1.267961,2108.940000,0.000000
69,0.008334,0.199995,-1.227928,2103.787000,0.000000
70,0.008334,0.299995,-1.186261,2111.295000,11.999750
71,0.008333,0.299995,-1.145729,2106.078000,0.000000
72,0.008563,0.399995,-1.102438,2113.377000,11.678690
73,0.008333,0.399995,-1.061465,2108.104000,0.000000
74,0.008333,0.399995,-1.021611,2102.974000,0.000000
75,0.008333,0.499995,-0.980115,2110.504000,11.999900
76,0.008334,0.499995,-0.939750,2105.309000,0.000000
77,0.008333,0.599995,-0.897762,2112.775000,12.000330
78,0.008334,0.599995,-0.856912,2107.518000,0.000000
79,0.008333,0.699995,-0.814458,2114.924000,12.000770
80,0.008334,0.699995,-0.773158,2109.608000,0.000000
81,0.008333,0.699995,-0.732986,2104.438000,0.000000
82,0.008333,0.799995,-0.691180,2111.928000,11.999760
83,0.008334,0.799995,-0.650515,2106.694000,0.000000
84,0.008651,0.899995,-0.606652,2113.919000,11.559750
85,0.008412,0.899995,-0.565183,2108.582000,0.000000
86,0.008334,0.899995,-0.525226,2103.439000,0.000000
87,0.008333,0.999995,-0.483631,2110.957000,11.999900
88,0.008334,0.999995,-0.443172,2105.749000,0.000000
89,0.008333,1.099994,-0.401090,2113.204000,12.000040
90,0.008333,1.099994,-0.360154,2107.935000,0.000000
91,0.008333,1.199994,-0.317607,2115.330000,11.999750
92,0.008334,1.199994,-0.276221,2110.003000,0.000000
93,0.008334,1.199994,-0.235962,2104.821000,0.000000
94,0.008333,1.299994,-0.194078,2112.301000,12.000330
95,0.008469,1.299994,-0.152682,2106.973000,0.000000
96,0.008593,1.399994,-0.109047,2114.228000,11.637640
97,0.008333,1.399994,-0.067896,2108.931000,0.000000
98,0.008334,1.399994,-0.027866,2103.779000,0.000000
99,0.008333,1.499994,0.013798,2111.287000,12.000330
100,0.008334,1.499994,0.054331,2106.070000,0.000000
101,0.008333,1.599994,0.096481,2113.516000,12.000040
102,0.008333,1.599994,0.137482,2108.239000,0.000000
103,0.008349,1.699994,0.180172,2115.615000,11.977040
104,0.008334,1.699994,0.221623,2110.280000,0.000000
105,0.008333,1.699994,0.261938,2105.091000,0.000000
106,0.008403,1.799994,0.304226,2112.519000,11.900500
107,0.008333,1.799994,0.345015,2107.269000,0.000000
108,0.008728,1.899994,0.389389,2114.429000,11.457360
109,0.008556,1.899994,0.431662,2108.988000,0.000000
110,0.008333,1.999994,0.474431,2116.354000,12.000180
111,0.008333,1.999994,0.516034,2111.000000,0.000000
112,0.008334,1.999994,0.556504,2105.791000,0.000000
113,0.008614,2.099993,0.599988,2113.065000,11.608460
114,0.008334,2.099993,0.640894,2107.800000,0.000000
115,0.008334,2.199993,0.683413,2115.198000,11.999600
116,0.008333,2.199993,0.724770,2109.875000,0.000000
117,0.008334,2.199993,0.765003,2104.697000,0.000000
118,0.008333,2.299993,0.806863,2112.180000,12.000040
119,0.008333,2.299993,0.847580,2106.939000,0.000000
