frame,deltaTime,actorX,cameraX,screenX,speed
0,0.008386,-2.687526,-4.008675,1045.022000,4.999990
1,0.008334,-2.645855,-3.971506,1045.312000,5.000002
2,0.008333,-2.604189,-3.934220,1045.594000,5.000007
3,0.008334,-2.562521,-3.896812,1045.868000,4.999995
4,0.008333,-2.520857,-3.859291,1046.135000,5.000011
5,0.008334,-2.479188,-3.821652,1046.394000,4.999986
6,0.008334,-2.437520,-3.783905,1046.646000,4.999991
7,0.008333,-2.395852,-3.746052,1046.892000,4.999997
8,0.008333,-2.354185,-3.708094,1047.130000,5.000000
9,0.008333,-2.312519,-3.670037,1047.363000,4.999998
10,0.008333,-2.270853,-3.631880,1047.589000,5.000004
11,0.008333,-2.229185,-3.593627,1047.808000,4.999997
12,0.008334,-2.187517,-3.555281,1048.022000,4.999991
13,0.008360,-2.145716,-3.516719,1048.230000,4.999995
14,0.008333,-2.104050,-3.478195,1048.433000,5.000004
15,0.008334,-2.062382,-3.439583,1048.629000,4.999995
16,0.008333,-2.020717,-3.400891,1048.821000,5.000009
17,0.008334,-1.979048,-3.362114,1049.007000,4.999999
18,0.008333,-1.937381,-3.323262,1049.188000,4.999998
19,0.008334,-1.895710,-3.284328,1049.364000,5.000006
20,0.008333,-1.854046,-3.245325,1049.535000,5.000000
21,0.008333,-1.812380,-3.206248,1049.702000,5.000004
22,0.008334,-1.770710,-3.167097,1049.864000,4.999994
23,0.008334,-1.729042,-3.127881,1050.022000,4.999993
24,0.008333,-1.687376,-3.088597,1050.175000,5.000004
25,0.008333,-1.645709,-3.049248,1050.324000,4.999997
26,0.008334,-1.604041,-3.009837,1050.470000,4.999993
27,0.008334,-1.562370,-2.970360,1050.611000,5.000004
28,0.008333,-1.520705,-2.930829,1050.748000,4.999997
29,0.008333,-1.479040,-2.891240,1050.882000,5.000007
30,0.008633,-1.435874,-2.850150,1051.015000,4.999994
31,0.008635,-1.392700,-2.808995,1051.145000,5.000003
32,0.008334,-1.351032,-2.769234,1051.268000,5.000003
33,0.008333,-1.309365,-2.729423,1051.387000,5.000002
34,0.008473,-1.267000,-2.688886,1051.505000,5.000005
35,0.008534,-1.224330,-2.648004,1051.620000,5.000002
36,0.008333,-1.182663,-2.608043,1051.730000,4.999995
37,0.008352,-1.140904,-2.567946,1051.837000,5.000002
38,0.008333,-1.099237,-2.527894,1051.941000,5.000002
39,0.008333,-1.057570,-2.487797,1052.042000,4.999997
40,0.008333,-1.015904,-2.447659,1052.140000,4.999993
41,0.008907,-0.971371,-2.404685,1052.240000,4.999999
42,0.008614,-0.928303,-2.363094,1052.335000,4.999998
43,0.008334,-0.886635,-2.322830,1052.426000,5.000000
44,0.008643,-0.843419,-2.281013,1052.516000,4.999998
45,0.008334,-0.801751,-2.240673,1052.601000,5.000000
46,0.008334,-0.760082,-2.200294,1052.684000,5.000000
47,0.008333,-0.718417,-2.159884,1052.765000,5.000002
48,0.008334,-0.676748,-2.119435,1052.844000,5.000002
49,0.008560,-0.633947,-2.077844,1052.921000,5.000002
50,0.008333,-0.592280,-2.037331,1052.996000,5.000000
51,0.008334,-0.550611,-1.996785,1053.068000,5.000000
52,0.008333,-0.508946,-1.956212,1053.138000,5.000002
53,0.008334,-0.467278,-1.915606,1053.207000,4.999998
54,0.008334,-0.425609,-1.874971,1053.273000,5.000000
55,0.008333,-0.383942,-1.834309,1053.338000,5.000000
56,0.008334,-0.342273,-1.793619,1053.401000,4.999999
57,0.008333,-0.300608,-1.752906,1053.462000,5.000001
58,0.008733,-0.256944,-1.710192,1053.523000,5.000001
59,0.008403,-0.214927,-1.669079,1053.581000,5.000000
60,0.008334,-0.173258,-1.628285,1053.638000,5.000000
61,0.008420,-0.131158,-1.587042,1053.693000,5.000000
62,0.008334,-0.089489,-1.546201,1053.746000,5.000000
63,0.008566,-0.046659,-1.504186,1053.799000,5.000000
64,0.008333,-0.004992,-1.463303,1053.849000,5.000000
65,0.008334,0.036676,-1.422396,1053.898000,5.000000
