evidence,run,interval,maxWindowFrameMs,maxWindowP95Ms,sampledAlivePeak,longFrames100ms,longFrames250ms,queueMaxBytes,comparisonLimit
original-manual-performance.json,22e7edfeb2a34ee2b56467980bb291e0,0-135,164.5146942138672,33.1161994934082,25,,,,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
original-manual-performance.json,22e7edfeb2a34ee2b56467980bb291e0,135-180,2336.417236328125,7.849404811859131,38,,,,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
original-manual-performance.json,22e7edfeb2a34ee2b56467980bb291e0,180-201,516.2696533203125,13.42700481414795,130,,,,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
original-manual-performance.json,22e7edfeb2a34ee2b56467980bb291e0,240-300,95.81880187988281,10.009197235107422,87,,,,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
original-manual-performance.json,22e7edfeb2a34ee2b56467980bb291e0,333-379,23.39299964904785,9.179896354675293,41,,,,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,0-135,393.4878234863281,79.702392578125,89,3,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,135-180,26.453697204589844,16.177104949951172,138,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,180-201,35.938499450683594,33.395896911621094,232,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,240-300,19.05209732055664,15.623101234436035,130,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,333-379,27.518999099731445,14.72569465637207,53,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r1-performance.json,d2b6145566d94a5aa13825edb847d9e1,599-721,44.53899383544922,42.130699157714844,110,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r2-performance.json,97c4341935314ac3a6b49a2bf5591218,0-135,150.05088806152344,85.53789520263672,94,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r2-performance.json,97c4341935314ac3a6b49a2bf5591218,135-180,16.619897842407227,11.544600486755371,57,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r2-performance.json,97c4341935314ac3a6b49a2bf5591218,180-201,25.17759895324707,17.9845027923584,147,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r2-performance.json,97c4341935314ac3a6b49a2bf5591218,240-300,20.393701553344727,18.48579978942871,106,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r2-performance.json,97c4341935314ac3a6b49a2bf5591218,333-379,23.85829734802246,12.8399019241333,42,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r3-performance.json,all-process-rounds,0-135,410.9114990234375,39.34189987182617,133,3,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r3-performance.json,all-process-rounds,135-180,27.02239990234375,14.914901733398438,138,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r3-performance.json,all-process-rounds,180-201,52.01210403442383,28.034700393676758,246,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r3-performance.json,all-process-rounds,240-300,56.22999572753906,19.727798461914062,158,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k03-r3-performance.json,all-process-rounds,333-379,34.43939971923828,23.368501663208008,194,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,0-135,393.4189147949219,53.95029830932617,94,1,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,135-180,20.372400283813477,17.053707122802734,113,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,180-201,94.63540649414062,23.93719482421875,205,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,240-300,20.473201751708984,17.167999267578125,154,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,333-379,42.47820281982422,24.96099853515625,189,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r1-performance.json,fa934ed31bd248fea3c482a680f50f6a,599-721,39.55009841918945,32.72110366821289,126,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r2-performance.json,a1dde241bd534226878e0ff2e293f357,0-135,119.28239440917969,33.50729751586914,40,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r2-performance.json,a1dde241bd534226878e0ff2e293f357,135-180,19.398496627807617,17.06279754638672,68,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r2-performance.json,a1dde241bd534226878e0ff2e293f357,180-201,22.68890380859375,18.36839485168457,167,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r2-performance.json,a1dde241bd534226878e0ff2e293f357,240-300,20.477195739746094,17.469600677490234,119,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r2-performance.json,a1dde241bd534226878e0ff2e293f357,333-379,29.00029754638672,18.869295120239258,88,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r3-performance.json,b9fbcf0e3c39405dbc19623bef4eb513,0-135,392.89178466796875,49.366695404052734,99,1,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r3-performance.json,b9fbcf0e3c39405dbc19623bef4eb513,135-180,17.59229850769043,17.051904678344727,126,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r3-performance.json,b9fbcf0e3c39405dbc19623bef4eb513,180-201,27.177600860595703,24.859601974487305,204,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r3-performance.json,b9fbcf0e3c39405dbc19623bef4eb513,240-300,17.77540397644043,17.05240249633789,109,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo72004-r3-performance.json,b9fbcf0e3c39405dbc19623bef4eb513,333-379,28.10479736328125,17.067197799682617,69,0,0,0,Original manual inputs/loadout differ from assisted technical runs. Legacy individual long-frame counts unavailable; window may include paused/loading work.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,0-135,389.0895080566406,30.967100143432617,76,1,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,135-180,17.00520133972168,10.931498527526855,63,0,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,180-201,19.731901168823242,16.85809898376465,142,0,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,240-300,22.356201171875,20.0132999420166,117,0,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,333-379,29.39729881286621,16.313095092773438,82,0,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k06-performance.json,2549256b059f4583b8edc13dd8dd6ae6,599-721,41.78709411621094,41.786598205566406,106,0,0,0,Final candidate06; assisted normal-time 4K run. Loading/RUNNING elapsed0 long frames retained; not same input/loadout as manual baseline.
solo4k07-performance.json,0c72117b999940f48c6edb8954ed69a1,0-135,381.2080993652344,30.1372013092041,86,1,0,0,"Technical assists recorded. Initial window includes loading; 1-second peaks, not average FPS or pressure comparison."
solo4k07-performance.json,0c72117b999940f48c6edb8954ed69a1,135-180,15.979202270507812,10.65379810333252,66,0,0,0,"Technical assists recorded. Initial window includes loading; 1-second peaks, not average FPS or pressure comparison."
solo4k07-performance.json,0c72117b999940f48c6edb8954ed69a1,180-201,24.78359603881836,20.094202041625977,166,0,0,0,"Technical assists recorded. Initial window includes loading; 1-second peaks, not average FPS or pressure comparison."
